SpectraSmart Spectrum 2.12.1.1	
--------- Device Information -----------	
Spectrum Name : 	??_0
Saving Time : 	2026/7/22 16:43
Spectro-Module Model Name :	EE2063-VNIR
Spectro-Module Serial Number :	OS361AC55037329
Wavelength Start :	350
Wavelength End :	1020
Wavelength Unit :	Wavelength(nm)
Spectrum Unit :	Intensity
MB Temperature(簞C) :	35.75 簞C
TEC Temperature(簞C) :	0.00 簞C
-----------Spectrum Setting ------------	
Integration Time :	2000ms
Average :	1
Boxcar :	0
Background removal :	 enabled
linearity correction :	 enabled
SC :	 disabled
Intensity correction :	 disabled
DWT denoise :	 enabled
savitzky-golay :	 disabled
FFT :	 disabled
Running average :	 disabled
Kalman :	 disabled
High pass :	 disabled
Baseline correction :	 disabled
---------------BEGIN--------------------	
740.55	19270.22
740.89	19248.39
741.23	19259.76
741.57	19293.27
741.91	19330.52
742.25	19359.28
742.59	19378.27
742.93	19375.54
743.27	19334.46
743.61	19254.02
743.95	19141.28
744.29	19011.44
744.63	18889.85
744.97	18788.93
745.31	18708.88
745.65	18654.04
745.99	18627.18
746.33	18627.17
746.67	18653.22
747.01	18696.68
747.35	18742.55
747.69	18783.24
748.03	18815.95
748.37	18838.54
748.71	18852.09
749.05	18854.21
749.39	18839.34
749.73	18805.66
750.07	18752.68
750.41	18681.06
750.75	18595.03
751.09	18495.04
751.43	18379.43
751.77	18254.68
752.11	18130.59
752.45	18020.47
752.79	17942.53
753.12	17901.87
753.46	17891.37
753.8	17907.41
754.14	17944.13
754.48	17992.35
754.82	18043.14
755.16	18075.81
755.5	18068.65
755.84	18016.43
756.18	17893.85
756.51	17773.07
756.85	17640.78
757.19	17526.11
757.53	17426.65
757.87	17339.78
758.21	17256.16
758.55	17176.14
758.88	17108.92
759.22	17063.41
759.56	17050.86
759.9	17070.67
760.24	17112.16
760.58	17162.8
760.91	17205.73
761.25	17230.13
761.59	17233.36
761.93	17210.07
762.27	17153.87
762.6	17065.42
762.94	16953.09
763.28	16824.3
763.62	16681.34
763.96	16538.43
764.29	16422.18
764.63	16336.95
764.97	16267.6
765.31	16214.33
765.64	16186.16
765.98	16182.3
766.32	16195.71
766.66	16218.31
766.99	16242.8
767.33	16252.4
767.67	16224.05
768.01	16152.21
768.34	16043.91
768.68	15910.82
769.02	15772.74
769.36	15641.76
769.69	15520.61
770.03	15416.65
770.37	15338.1
770.7	15287.28
771.04	15263.02
771.38	15262.04
771.71	15277.32
772.05	15300.91
772.39	15326.55
772.72	15342.22
773.06	15332.27
773.4	15291.66
773.73	15222.95
774.07	15131.78
774.41	15029.25
774.74	14922.73
775.08	14814.72
775.42	14711.92
775.75	14622.39
776.09	14549.92
776.43	14495.91
776.76	14458.07
777.1	14430.74
777.43	14409.24
777.77	14389.29
778.11	14368.51
778.44	14345.23
778.78	14315.61
779.11	14276.92
779.45	14219.74
779.79	14130.97
780.12	14011.54
780.46	13870.06
780.79	13725.1
781.13	13604.71
781.46	13519.24
781.8	13465.78
782.14	13435.99
782.47	13413.58
782.81	13392.89
783.14	13376.67
783.48	13369.26
783.81	13378.31
784.15	13400.95
784.48	13426.66
784.82	13441.89
785.15	13428.87
785.49	13381.81
785.82	13305.67
786.16	13206.75
786.49	13095.49
786.83	12979.87
787.16	12863.77
787.5	12753.39
787.83	12655.97
788.17	12576.08
788.5	12515.4
788.84	12476.53
789.17	12461.48
789.51	12465.87
789.84	12482.11
790.17	12498.96
790.51	12500.66
790.84	12479.93
791.18	12438.09
791.51	12372.76
791.85	12282.75
792.18	12172.25
792.51	12045.3
792.85	11916.47
793.18	11808.04
793.52	11727
793.85	11670.85
794.18	11631.2
794.52	11591.15
794.85	11546.48
795.19	11503.47
795.52	11465.72
795.85	11439.23
796.19	11424.61
796.52	11414.73
796.85	11409.41
797.19	11411.04
797.52	11415.23
797.86	11417.15
798.19	11403.81
798.52	11355.41
798.86	11269.41
799.19	11155.2
799.52	11026.5
799.86	10904.75
800.19	10800.88
800.52	10714.68
800.85	10649.33
